CASEID,lang,type,q13,q14,q14a,q15,q16,q17,q41,q12,q18,q19,q20,q21,q23,q24,q25,q26,q27,q28,q6pre,q7m1,q7m2,q7m3,q7m4,q8,q9m1,q9m2,q9m3,q9m4,q9m5,q9m6,q10m1,q10m2,q10m3,q10m4,q10m5,q10m6,q11,q36yy,q36mm,q36dd,q31,q38,q32,q33,q35,q35b,q29pr,q29,q39,q40,q6,q22,q30,q1d,q1e,q1f,q1g,q2sav,q2a2,q2b2,q2c2,q2d2,q2e2,q2f2,q2g2,q2h2,q2i2,q2j2,q2k2,q3a,q3c,q3f,q3e,q3h,q3j,q3k,q3l,q3m,sex,age,o4a,o4b,o4c,o4d,ogvtl,ogovb,oothl,opvtl,o4e,o4f,o4g,o4h,o4i,o5a,o5b,o5c,o5d,o5e,o5f,o5e1,o5g,o5j,o5i,o5h,o5k,o5l,o5m,o6a,o6b,o6c,o6d,ochan,n4a,n4b,n4c,n4d,ngvtl,ngovb,nothl,npvtl,n4e,n4f,n4g,n4h,n4i,n5a,n5b,n5c,n5d,n5e,n5f,n5e1,n5g,n5j,n5i,n5h,n5k,n5l,n5m,n6a,n6d,n6b,n6c,nchng,d4a,d4b,d4c,d4d,dgvtl,dgovb,dothl,dpvtl,d4e,d4f,d4g,d4h,d4i,d5a,d5b,d5c,d5d,d5e,d5f,d5e1,d5g,d5j,d5i,d5h,d5k,d5l,d5m,d6a,d6d,d6b,d6c,dhang,j4a,j4b,j4c,j4d,jgvtl,jgovb,jothl,jpvtl,j4e,j4f,j4g,j4h,j4i,j5a,j5b,j5c,j5d,j5e,j5f,j5e1,j5g,j5j,j5i,j5h,j5k,j5l,j5m,j6a,j6d,j6b,j6c,jhang,jgrad,jperf,jabovm1,jabovm2,jabovm3,jabovm4,jbelom1,jbelom2,jbelom3,jbelom4,gasst,f4a,f4b,f4c,f4d,fgvtl,fgovb,fothl,fpvtl,f4e,f4f,f4g,f4h,f4i,f5a,f5b,f5c,f5d,f5e,f5f,f5e1,f5g,f5j,f5i,f5h,f5k,f5l,f5m,f6a,f6d,f6b,f6c,fchn1,fchng,fchn3,fchn4,fwrk,fwrk2,m4a,m4b,m4c,m4d,mgvtl,mgovb,mothl,mpvtl,m4e,m4f,m4g,m4h,m4i,m5a,m5b,m5c,m5d,m5e,m5f,m5e1,m5g,m5j,m5i,m5h,m5k,m5l,m5m,m6a,m6d,m6b,m6c,mchan,mcarv,mcars,mcarg,mcary,mcarm,mmarv,mcomp,mcom3,mcom2,mcom4,mcom5,mcom6,mcom7,melism1,melism2,melism3,melism4,melism5,melism6,melism7,melec,masst,mcage,a4a,a4b,a4c,a4d,agvtl,agovb,aothl,apvtl,a4e,a4f,a4g,a4h,a4i,a5a,a5b,a5c,a5d,a5e,a5f,a5e1,a5g,a5j,a5i,a5h,a5k,a5l,a5m,a6a,a6d,a6b,a6c,achan,aborr,y4a,y4b,y4c,y4d,ygvtl,ygovb,yothl,ypvtl,y4e,y4f,y4g,y4h,y4i,y5a,y5b,y5c,y5d,y5e,y5f,y5e1,y5g,y5j,y5i,y5h,y5k,y5l,y5m,y6a,y6d,y6b,y6c,ychan,yamte,yspex,ycred,ydone,ynxty,ynore,yaend,ybend,wgt,iarea,prov
   1,1,2,1, 5, 4, 1,2,2,2,2,1,50,1,50,1,1,2, 3,2,1,2, , , ,          ,3, , , , , ,          , , , ,          ,          ,          ,2,1974, 4,18,1, 1,2, ,2, ,2, , 6,99,   ,10000, 40000,    0,24000,10000, 2000, 2000,    0,    0,   0,    0,    0,    0,    0,    0,    0,    0,    0,    0, 1000,    0,   0,    0, 1200,    0, 3000, 1000,1,28, 3000,    0,   0,    0,    0,    0,    0, 2000,    0,    0,   0,   0,    0,  500, 75, 90, 25,41, 28,  58, 250,    0, 200,  0,    0,    0, 300,  50,  25,  20,   30,1, 2500,   0,   0,    0,   0,   0,   0,  500,    0,    0,   0,   0,    0,  500,100, 90, 20, 35, 30, 50,   0,  200,  450,   0,    0, 450,   0, 150, 200,   50,  50, ,2500,   0,   0,    0,   0,   0,   0,    0,   0,   0,   0,   0,   0,  450, 50, 90, 25, 40, 25, 25,   0,  50, 150,  0,   0,  500,   0, 250,   0, 100, 100,1, 3000,    0,   0,    0,   0,   0,   0,   0,   0,    0,    0,   0,   0, 450, 80, 95, 40, 45, 32,  0,  50, 1000, 500,  0,   0, 600,   0, 200, 150,  50, 100,1, 2,3, , , ,          , , , , ,0,3000,   0,   0,   0,    0,   0,   0,1000,    0,   0,   0,   0,    0, 600,100,  0,  60, 45, 45,  50, 200,    0, 400,  0,    0,  400,   0, 200,  50, 100, 100,2,2,4,2,50,50, 3400,   0,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0, 600, 80, 70, 40, 40, 45, 70,   0, 2200,  500,  0,   0, 400, 650, 200, 150,  20, 100,1,1, , ,  ,  ,     ,1,1,0,2,2,2200,0,1,2,3,4,5,6, , 5000,  4000,    ,3136,    0,   0,  0,   0,   0,   0,  530,   0,    0,   0,   0,   0, 564, 92, 38,  50, 43, 45, 60,  83, 374,  518,  0,   0, 380, 338, 194,  92,  43,  90, ,     ,3200,    0,   0,   0,   0,   0,   0,  435,   0,   0,   0,   0,   0, 552, 79, 27,  50, 43, 45, 60, 140,  583, 414,  0,   0, 456, 631, 182, 110,  42,  88, , , ,     , , , , , ,1.402663,613,5
   2,1,1,1, 7, 3, 2,1,2,2,2,1,20,1,20,2, ,1, 3,2,2,1,6, , ,          ,2,1, , , , ,          , , , ,          ,          ,          ,1,1982, 9, 5,1, 1,2, ,1, , , , 8, 7,100, 3500, 50000,    0, 2000,  500,    0,    0,    0,    0,   0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   0,    0,    0,    0,    0,    0,2,20,  420,    0,   0,  315,    0,    0,    0,    0,  573,    0,   0,   0,    0,    0,  0,  0,  0, 0,  0,   0,  50,   20,  60,  0,    0,  748,  60, 100, 100,  50,  150,1,  500,   0,   0,    0,   0,   0,   0,    0,    0,    0,   0,   0,    0,    0,  0,  0,  0,  0,  0,  0,  20,    5,   40,   0,    0, 400,   0,  50,   0,   20,  20, ,1200,   0,   0,    0,   0,   0,   0,    0,   0,   0,   0,   0,   0,    0,  0,  0,  0,  0,  0,  0,  30,  20,  30,  0,   0,  250,   0,  60,   0,  20,  20,1,  420,    0,   0,  230,   0,   0,   0,   0,   0,    0,    0,   0,   0,   0,  0,  0,  0,  0,  0,  0,  20,    0,  30,  0,   0, 200,   0,  40,   0,  20,  20,2, 4,5, , , ,          ,4, , , ,0, 400,   0,   0,   0,    0,   0,   0,   0,  180,   0,   0,   0,    0,   0,  0,  0,   0,  0,  0,   0,  20,   20,  40,  0,    0,  400,   0,  30,   0,   0,   0,1,1, , ,15,20,  550,   0,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0,   0,  0,  0,  0,  0,  0,  0,   0,   20,  100,  0,   0, 350,   0,  60,   0, 150,  60, , , , ,  ,  ,     , , , , , ,    , , , , , , , , ,     ,      ,    , 700,    0,   0, 20,   0,   0,   0,    0,   0,    0,   0,   0,   0,   0,  0,  0,   0,  0,  0,  0,  20,  20,  100,  0,   0, 400,   0,  40,   0, 200,  20, ,    0, 600,    0,   0,  20,   0,   0,   0,    0,   0,   0,   0,   0,   0,   0,  0,  0,  25,  0,  0,  0,  30,    0, 250,  0,   0, 300,   0, 100, 100, 100,  50, ,3,3, 1000,2,1, ,1,1,0.415416,306,3
   3,2, ,3, 1, 5, 1,1,2,2,2,2,  ,1,16,2, ,1, 1,2,2,2, , , ,          ,2,3, , , , ,          , , , ,          ,          ,          ,1,1983, 1, 3,1, 2,2, ,4,1,1, , 3, 6,   ,99999,999999, 4010,    0,  160,    8,    0,    0,  800,   0, 2005,    0,    0,    0,    0,    0,    0,    0,  724,    0,  100, 100,    0,  600,    2,    0,    0,2,19,    0,    0, 120,    0,    0,    0,    0,    0,    0,    0,   0,   0,    0,    0,  0,  0,  0, 0,  0,  74,   0,    0,   0,  0,    0,    0,   0,   0,   0,   0,    0,1,    0,   0,   0,    0,   0,   0,   0,    0,    0,    0,   0,   0,    0,    0,  0,  0,  0,  0,  0,  0,   0,    0,    0,   0,    0,   0,   0,   0,   0,    0,   0,1,   0,   0,   0,    0,   0,1300,1500,    0,   0,   0,   0,   0,   0,  250,  0,  0,  0,  0,  0, 96,  30,   0,   0,  0,   0,    0,   0, 200,   0,   0, 100,1,    0,    0,   0,   60,   0,   0,   0,   0,   0,    0,    0,   0,   0,   0,  0,  0,  0,  0,  0,  0,   0,    0,   0,  0,   0,   0,   0,  20,   0,   0,   0,1,99,3, , , ,          , , , , ,1,   0,   0,  50,   0,    0,1600,   0,   0,    0,   0,   0,   0,    0,1000,  0,  0,   0,  0,  0,   0,   0,  150,  40,  0,    0,    0,   0,  30,  10,   0,   0,1,1, , , 0, 0,    0,   0,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0,   0,  0,  0,  0,  0,  0,  0,   0,   20,   40,  0,   0,   0,   0,   0,   0,   0,   0,1,1,1,1,  ,12,  300,1,1,1,1,1,9999,1,4,5,7, , , , ,  150,  1500, 0.1,   0,    0,  24,  0,   0, 608,   0,    0,   0,    0,   0,   0,   0, 470,  0,  0,   0,  0,  0,  0,   0,  29,   46,  0,   0,   0,   0,  15,   5,   0,   0, ,     ,   0,    0,  28,   0,   0, 376,   0,    0,   0,   0,   0,   0,   0, 460,  0,  0,   0,  0,  0,  0,   0,   45,  37,  0,   0,   0,   0,  14,   6,   0,   0, , , ,     , , , , , ,1.226112,819,6
   4,1, ,1,98, 4, 3,2,1,2,2,2,  ,2,  , ,9,1, 1,2,2,1,1,2, ,          ,3, , , , , ,          , , , ,          ,          ,          ,1,1955,10, 8,1, 1,2, ,3, ,2, ,97, 6,999, 1800,  9800,    0,    0,    0,    0,    0, 5000,    0,   0,    0,    0,    0,    0,    0, 1880,    0,    0, 2400,   80,  600,1000,    0,  300,    0,    0,   50,2,47,    0, 1840,   0,    0,    0,    0,    0,    0,    0,    0,   0,   0,    0,  595, 25,  0, 70, 0, 40,   0, 200,  100, 100,  0,    0,    0,  20, 100, 200,  70,  250, ,    0,   0,   0,    0,   0,   0,   0,    0,    0,    0,   0,   0,    0,  595,  0,  0, 73,  0, 42,  0,  50,   50,   40,   0,    0,   0,  30, 100, 150,  200,  75, ,   0,2000,   0,    0,   0,   0,   0,    0,   0,   0,   0,   0,   0,  595,  0,  0, 69,  0, 42,  0,  20, 140,  40,  0,   0,    0,   0,  63, 211,  40, 144,1,    0,  100,   0,    0,   0,   0,   0,   0,   0,    0,    0,   0,   0, 595, 30,  0, 70,  0, 40,  0,  80,  100,  70,  0,   0,   0,   0,  75,  80, 110,  50,1, 1,5, , , ,          ,4, , , ,0,    ,    ,    ,    ,     ,    ,    ,    ,     ,    ,    ,    ,     ,    ,   ,   ,    ,   ,   ,    ,    ,     ,    ,   ,     ,     ,    ,    ,    ,    ,    , , , , ,  ,  ,     ,    ,    ,    ,    ,    ,    ,     ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,    ,     ,     ,   ,    ,    ,    ,    ,    ,    ,    , , , , ,  ,  ,     , , , , , ,    , , , , , , , , ,     ,      ,    ,    ,     ,    ,   ,    ,    ,    ,     ,    ,     ,    ,    ,    ,    ,   ,   ,    ,   ,   ,   ,    ,    ,     ,   ,    ,    ,    ,    ,    ,    ,    , ,     ,    ,     ,    ,    ,    ,    ,    ,     ,    ,    ,    ,    ,    ,    ,   ,   ,    ,   ,   ,   ,    ,     ,    ,   ,    ,    ,    ,    ,    ,    ,    , , , ,     , , , , , ,0.415416,306,3
   5,2,5,1, 8, 3, 3,1,2,2,2,1, 8,1, 8,2, ,2, 1,2,2,2, , , ,          ,3, , , , , ,          , , , ,          ,          ,          ,1,1979, 8, 1,1, 2,2, ,2, ,1, , 3, 7,   , 3000,  8000, 9000,    0,    0,    0, 2000,    0,    0,   0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   0,    0,  550,    0,    0,    0,2,23,  300,   57,   0,    0,    0,    0,    0,    0,    0,    0,   0,   0,    0,  301, 18,  0, 26, 0,  0,  12,  77,  353, 103,  0,    0,    0,  14, 101,  34,  15,  185, ,  276,   0,   0,    0,   0,   0,   0,    0,    0,    0,   0,   0,    0,  220, 15,  0, 15,  0,  0, 10, 100,   50,  150,   0,    0,   0,   0, 100, 150,   50,  25, , 200,  25,   0,    0,   0,   0,   0,    0,   0,   0,   0,   0,   0,  225, 30,  0, 20,  0,  0,  0,  15,  20,  50,  0,   0,    0,  35, 150, 200,  43,  10,1,  400,  100,   0,    0,   0,   0,   0,   0,   0,    0,    0,   0,   0, 220, 10,  0, 35,  0,  0,  6,  20,   75,  35,  0,   0,   0,   0,  10,  10,   0,  15,1, 4,3, , , ,          , , , , ,0, 300,   0,   0,   0,    0,   0,   0,   0,    0,   0,   0,   0,    0, 238, 20,  0,  15,  0,  0,   0,   0,  100,  40,  0,    0,    0,   0,  25,   0,   5,   5,1,1, , , 8, 8,  500,  80,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0, 250, 20,  0, 15,  0,  0,  0,   0,    0,   50,  0,   0,   0,   0,  25,  10,  10,   5,1,1, , ,  ,  ,     ,1,1,3,1,1,3000,3,3, , , , , , ,  200,   500,    , 392,   32,   0,  0,   0,   0,   0,    0,   0,    0,   0,   0,   0, 229, 20,  0,  15,  0,  0,  0,   0,  17,   52,  0,   0,   0,   0,  24,   5,   6,   5, ,     , 400,   44,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0, 224, 18,  0,  15,  0,  0,  0,   0,   27,  41,  0,   0,   0,   0,  23,   6,   6,   4, , , ,     , , , , , ,1.226112,514,6
   6,1,2,3, 5, 3, 2,1,2,2,2,1,30,1,20,1, ,1, 1,2,1,2, , , ,          ,2,1, , , , ,          , , , ,          ,          ,          ,1,1982, 1,25,1, 1,2, ,1, , , , 4, 3,   , 4500, 40000,    0,    0,  500,  100, 1000,    0,    0,   0,    0,    0,    0,    0,    0,    0,    0,    0,   90,    0,    0, 500,    0,  700,    0,  500,    0,2,20, 1040,    0,   0,    0,    0,    0,    0,    0,   40,    0,   0,   0,    0,   90,  0,  0,  0, 0,  0,   0,  50,  500, 100,  0,    0,  445, 200,  30,  40, 100,  100,2,  600,   0,   0,    0,   0,   0,   0,    0,    0,    0,   0,   0,    0,   90,  0,  0,  0,  0,  0,  0,   0,    0,   50,   0,    0,   0,   0,  85, 150,   10,  50, , 800,   0,   0,    0,   0,   0,   0,    0,   0,   0,   0,   0,   0,    0,  0,  0,  0,  0,  0,  0,   0, 450,  25,  0,   0,    0,   0, 150,  50,  20,   0, , 1300,    0,   0,   50,   0,   0,   0,   0,   0,    0,    0,   0, 750,   0,  0,  0,  0,  0,  0,  0,1040,  500,  50,  0,   0, 500,   0, 100, 600,   0,  50,2, 3,2,2,4, ,          , , , , ,0,1125,   0,   0, 100,    0,   0,   0,   0,    0,   0,   0,   0,    0,   0,  0,  0,   0,  0,  0,   0,   0,  500,  50,  0,    0,  750,  80,  75,  20,  75,  75,1,1, , ,20,26,  800,   0,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0,   0,  0,  0,  0,  0,  0,  0,   0,    0,   25,  0,   0, 200, 200,  75,  15,  25, 150,1,1,1,1,99, 0, 1000,1,2,1, , ,    , ,1,2,3,5, , , , 1500,  2000, 0.3, 943,    0,   0, 20,   0,   0,   0,    0,   0,    0,   0,   0,   0,   0,  0,  0,   0,  0,  0,  0,   0,  85,   43,  0,   0, 451, 146,  73,  16,  23, 101, ,     , 963,    0,   0,  38,   0,   0,   0,    0,   0,   0,   0,   0,   0,   0,  0,  0,   0,  0,  0,  0,   0,  133,  35,  0,   0, 542, 272,  68,  19,  22,  99, , , ,     , , , , , ,0.843114,250,1
   7,1,4,1, 4, 3, 2,1,2,2,2,2,  ,9,  , , ,2, 0,2,2,2, , , ,          ,3, , , , , ,          , , , ,          ,          ,          ,1,1979,12,29,1,98,2, ,1, , , , 7, 5,   ,    0,999999,    0,    0,    0,    0,    0,    0,    0,2000,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   0,    0,    0,    0,    0,    0,1,23,    0,    0,   0,    0,    0,    0,    0,    0,    0,    0,   0,   0,    0,    0,  0,  0,  0, 0,  0,   0,   0, 1365,  63,  0,    0,    0,   0,   0,  40,   0,    0,1,    0, 100,   0,    0,   0,   0,   0,    0,    0,    0,   0,   0,    0,    0,  0,  0,  0,  0,  0,  0,   0,    0,   63,   0,    0,   0,   0,   0,   0,    0,  20, ,   0,  64,   0,    0,   0,   0,   0,    0,   0,   0,   0,   0,   0,    0,  0,  0,  0,  0,  0,  0,   0,   0,  64,  0,   0,    0,   0,   0,   0,   0,  40,1,    0,   63,   0,    0,   0,   0,   0,   0,   0,    0,    0,   0,   0,   0,  0,  0,  0,  0,  0,  0,   0,    0,  63,  0,   0,   0,   0,   0,   0,   0,  60,1, 7,3, , , ,          , , , , ,6,   0,  63,   0,   0, 2284,1522,   0,   0,  500, 300,   0,   0,    0,   0,  0,  0,   0,  0,  0,   0,   0, 1236,  63,  0,    0,    0,   0,  20,   0,  40,  10,1,1, , , 0, 0,    0,  20,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0,   0,  0,  0,  0,  0,  0,  0,   0,   60,   63,  0,   0,   0,   0,  20,   0,   0,   0,1,1, , ,  ,  ,     ,1,1,4,2,2,1500,3,2,4, , , , , ,  500,  1000,    ,   0,   20,   0,  0,   0,   0,   0,    0,   0,    0,   0,   0,   0,   0,  0,  0,   0,  0,  0,  0,   0,   0,   63,  0,   0,   0,   0,  40,   0,   0,   0, , 1500,   0,    0,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0,   0,  0,  0,   0,  0,  0,  0,   0,   15,  64,  0,   0,   0,   0, 100,   0,   0,  80, ,3,3,    0,2,1, ,1,1,1.085743,604,1
   8,1,4,1, 4, 3, 2,1,2,2,2,2,  ,9,  , , ,2, 1,2,2,1,1, , ,          ,2,1,5, , , ,          , , , ,          ,          ,          ,1,1982, 5,21,1, 1,2, ,3, ,1,3, 6, 9,999, 2400,999999,    0,    0,    0,    0, 1800, 5600,    0,   0,    0,    0,    0,    0,    0,    0,    0,    0,  425,    0,    0, 200,    0,    0,    0,    0,   -1,1,20,    0,  640,   0,    0,    0,    0,    0,    0,    0,    0,   0,   0,    0,  425,  0,  0, 65, 0,  0,   0,   0,  150,  20,  0,    0,    0,   0, 200,  20,  40,   16,1,    0, 500,   0,    0,   0,   0,   0,    0,    0,    0,   0,   0,    0,  425,  0,  0, 65,  0,  0,  0,   0,    0,    0,   0,    0,   0,   0, 160,   0,    0,  20,1,   0, 800,   0,    0,   0,   0,   0,    0,   0,   0,   0,   0,   0,  425,  0,  0, 60,  0,  0,  0,  20,   0,  50,  0,   0,    0,   0, 200,   8,  20, 120,1,    0,  910,   0,   25,   0,   0,   0,   0,   0,    0,    0,   0,   0, 425,  0,  0, 95,  0,  0,  0,   0,    0,  50,  0,   0,   0,   0, 140,   0,   0,  48,1, 7,5, , , ,          ,1,4, , ,0,   0,1180,   0,   0,    0,   0,   0, 920,    0,   0,   0,   0,    0, 425,  0,  0,  95,  0,  0,   0,   0, 1450,   0,  0,    0,    0,   0, 280,  20, 200,  50,1,1, , , 0, 0,    0, 680,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0, 425,  0,  0, 60,  0,  0,  0,   0,    0,    0,  0,   0,   0,   0, 120,   0,   8,  40,1,1, , ,  ,  ,     ,2, ,4, , ,    , ,1,2,3,4, , , ,99999,999999,    ,   0,  680,   0,  0,   0,   0,   0,    0,   0,    0,   0,   0,  85, 425,  0,  0,  60,  0,  0,  0,   0,   0,    0,  0,   0,   0,   0,  28,   0,   8,  20, ,    0,   0,  710,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,  40, 425,  0,  0,  65,  0,  0,  0,   0,   25, 120,  0,   0,   0,   0,  80,   0,   0,  40, ,9,9,  800,2,1, ,2,1,0.686710,506,7
   9,1, ,1, 4, 3, 2,1,9,2,2,2,  ,2,  , , ,2, 0,2,2,1,6, , ,          ,3, , , , , ,          , , , ,          ,          ,          ,1,    ,  ,99,1, 1,2, ,1, , , , 5, 5,  0, 6500,999999,    0,    0,    0,    0,    0, 5000,    0,   0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, 500,    0,    0,    0,    0,    0,1,  ,    0,    0,   0,    0,    0,    0,    0,    0,    0,    0,   0,   0,   76,    0,  0,  0, 41, 0,  0,   0,   0, 5500, 104,  0,    0,    0,  72,  60, 320,   0,  160,1,    0,   0,   0,    0,   0,   0,   0,    0,    0,    0,   0,   0,    0,    0,  0,  0, 37,  0,  0,  0,   0,    0,  107,   0,    0,   0,  35, 120, 480,  400, 600,1,   0,   0,   0,    0,   0,   0,   0,    0,   0,   0,   0,   0,   0,    0,  0,  0, 37,  0,  0,  0, 300,   0, 107,  0,   0,    0,  35, 100,  80,  20,  40,2,    0, 6000,   0,    0,   0,   0,   0,   0,   0,    0,    0,   0,   0,   0,  0,  0, 37,  0,  0,  0,   0,    0, 107,  0,   0,   0,   0, 400,1200, 160, 640,1, 2,3, , , ,          , , , , ,0,   0,5000,   0,   0,    0,   0,   0,   0,    0,   0,   0,   0,    0,   0,  0,  0,   0,  0,  0,  37,   0,  600, 107,  0,    0,    0,  35,  40, 120, 120,  30,2,1, , , 0, 0,    0,6500,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0,   0,  0,  0,  0,  0,  0, 37,   0,    0,  107,  0,   0,   0,  35, 100, 160,  40, 100,1,1, , ,  ,  ,     ,1,2,3, , ,    , ,1,2,3,4,5,6, , 2000,  5000,    ,   0,  100,   0,  0,   0,   0,   0,    0,   0,    0,   0,   0,   0,   0,  0,  0,  37,  0,  0,  0,   0,   0,  100,  0,   0,   0,  35,  60,  60,  20,  60,2,    0,   0,  250,   0,   0,   0,   0,   0,    0,   0,   0,   0,   0,   0,   0,  0,  0,  48,  0,  0,  0,   0,   50, 107,  0,   0,   0,  37, 100,  40,  40,  80,1,3,3,    0,2,1, ,1,1,1.402663,905,5
  10,1, ,3, 2, 1, 2,1,2,2,2,9,  ,9,  , , ,2, 0,2,1,2, , , ,          ,1, , , , , ,          ,9, , ,          ,          ,          ,1,1977, 7,26,1, 1,2, ,4,3,1,3, 9, 8,   ,99999, 10000,10000, 4000,    0,    0,   -1,    0,    0,   0, 4000,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,   0,    0,    0,    0,    0,    0,1,25,    0,    0,   0,    0,    0,    0,    0,    0,    0,    0,   0,   0,    0,  544,  0,  0, 41, 0,  0,   0, 258,    0,  99,  0,    0,    0,   0,    ,    ,    ,     , ,    0,   0,   0,    0,   0,   0,   0,    0,    0,    0,   0,   0,    0,  400,  0,  0, 25,  0,  0,  0, 300,    0,   50,   0,    0,   0,   0,    ,    ,     ,    , ,   0,   0,   0,    0,   0,   0,   0,    0,   0,   0,   0,   0,   0,  400,  0,  0, 50,  0,  0,  0,   0,   0, 100,  0,   0,    0,   0,    ,    ,    ,    ,2,    0,    0,   0,    0,   0,   0,   0,   0,   0,    0,    0,   0,   0, 304,  0,  0, 36,  0,  0,  0, 150,    0,  63,  0,   0,   0,   0,    ,    ,    ,    , ,  , , , , ,          , , , , ,1,    ,    ,    ,    ,     ,    ,    ,    ,     ,    ,    ,    ,     ,    ,   ,   ,    ,   ,   ,    ,    ,     ,    ,   ,     ,     ,    ,    ,    ,    ,    , , , , ,  ,  ,     ,    ,    ,    ,    ,    ,    ,     ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,    ,     ,     ,   ,    ,    ,    ,    ,    ,    ,    , , , , ,  ,  ,     , , , , , ,    , , , , , , , , ,     ,      ,    ,    ,     ,    ,   ,    ,    ,    ,     ,    ,     ,    ,    ,    ,    ,   ,   ,    ,   ,   ,   ,    ,    ,     ,   ,    ,    ,    ,    ,    ,    ,    , ,     ,    ,     ,    ,    ,    ,    ,    ,     ,    ,    ,    ,    ,    ,    ,   ,   ,    ,   ,   ,   ,    ,     ,    ,   ,    ,    ,    ,    ,    ,    ,    , , , ,     , , , , , ,1.085743,604,1
